PRECINCT,POP_AGE18_24,POP_25OVER,SQF_RACEASIAN,SQF_RACEBLACK,SQF_RACEHISPANIC,SQF_RACEWHITE,SQF_SEXM,SQF_SEXF,SQF_SEXZ,SQF_AGE0_17,SQF_AGE18_24,SQF_AGE25_34,SQF_AGE35_44,SQF_AGE45_64,SQF_AGE65_older,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,POP_Adult,POP_Male,POP_Female,UNDERHS_ALL,GRAD_ALL,COLLEGE_ALL,BACHELORS_ALL,POP_AGE18_24,POP_25OVER,UNDERHS_AGE18to24,GRAD_AGE18to24,COLLEGE_AGE18to24,BACHELORS_AGE18to24,UNDERHS_AGE18to24_M,GRAD_AGE18to24_M,COLLEGE_AGE18to24_M,BACHELORS_AGE18to24_M,UNDERHS_AGE18to24_F,GRAD_AGE18to24_F,COLLEGE_AGE18to24_F,BACHELORS_AGE18to24_F,UNDER9th_25OVER,UNDERHS_25OVER,GRAD_25OVER,COLLEGE_25OVER,BACHELORS_25OVER,UNDER9th_25OVER_M,UNDERHS_25OVER_M,GRAD_25OVER_M,COLLEGE_25OVER_M,BACHELORS_25OVER_M,UNDER9th_25OVER_F,UNDERHS_25OVER_F,GRAD_25OVER_F,COLLEGE_25OVER_F,BACHELORS_25OVER_F
78,62629,844172,247,5672,4077,1864,11166,1020,366,1979,3240,2939,2153,2103,92,5814,11668,20024,25916,906801,424471,482330,67258,82747,84533,274213,62629,844172,5814,11668,20024,25916,3247,6256,8524,11321,2973,5412,11500,17534,30722,39900,71079,64509,248297,13635,19050,31198,33489,115249,15582,20702,39160,30351,127495
79,153593,840968,522,42621,7719,2101,49246,4266,667,8475,16614,12948,7011,8207,486,23516,38319,64560,24988,994561,439051,555510,167120,234108,192385,190723,153593,840968,23516,38319,64560,24988,12640,17918,28027,10426,10958,20401,36533,16206,71802,97504,195789,127825,165735,28992,42466,81789,56190,71367,36070,54353,110004,69493,92716
81,80801,519677,208,32926,3192,569,35409,2507,195,6378,12914,9282,4263,4740,221,16219,24595,26520,14640,600478,264056,336422,108341,167102,105806,103150,80801,519677,16219,24595,26520,14640,8563,12327,11214,6245,7558,12268,15306,8897,46061,60124,142507,79286,88510,18590,25921,63399,31634,38532,22309,33857,75356,46313,49741
83,184179,902356,415,14551,22781,2073,38228,2293,1388,5455,14114,11717,5802,4509,173,37657,41117,67340,36767,1086535,531355,555180,375773,242894,184956,187891,184179,902356,37657,41117,67340,36767,21467,21392,30164,16175,15903,19724,37175,22163,169058,128124,201777,117616,151124,81570,61613,96837,56812,71509,87381,65066,99684,58588,77792
84,82737,611142,647,11640,3448,1971,16184,1796,127,2613,4605,3845,2744,3953,276,3537,17082,30921,33600,693879,336590,357289,36549,62497,75920,243967,82737,611142,3537,17082,30921,33600,2079,9528,14514,17113,1659,7555,16410,19629,16506,14861,45415,44999,210367,6477,7351,22778,23010,94062,9272,7527,22029,21642,109837
88,65947,487666,305,18237,3083,1517,21423,2078,441,4164,6705,5380,3226,4091,254,7421,14579,26348,17316,553613,254100,299513,63121,80570,84019,153273,65947,487666,7421,14579,26348,17316,4096,7987,11600,8426,3503,6592,14748,10232,27850,33389,65991,57671,135957,11306,14006,29348,27055,60039,15242,19246,35388,29415,72115
90,169987,1021489,541,15112,21450,4160,39580,2134,260,6360,13351,10572,5899,5467,220,30251,42256,54771,38856,1191476,578251,613225,272431,251613,179536,276449,169987,1021489,30251,42256,54771,38856,15721,18081,31135,17930,14535,24175,23636,23760,121090,117977,209357,124765,237593,50216,53836,87444,71231,110802,67430,62555,117393,51000,121222
94,39875,437160,178,2001,2507,2555,6902,537,11,700,1996,2272,1225,1106,53,3181,6775,14967,15851,477035,230575,246460,49171,71533,67878,157773,39875,437160,3181,6775,14967,15851,1129,3403,6501,7120,1996,3372,8466,10114,22995,21114,64758,52911,141922,8886,10967,30029,27184,66546,13125,10208,33687,24628,72614
100,42015,427973,306,9581,2577,2788,14231,1105,3,2658,5300,3534,1822,1861,125,5562,14489,19258,5852,469988,223959,246029,54094,116707,91878,80922,42015,427973,5562,14489,19258,5852,3324,7512,8795,3348,2370,6977,10463,2901,24266,37682,102218,72620,75070,9439,17286,47975,35324,35565,13467,19962,50941,35566,40145
101,85837,508776,228,34630,3880,593,38829,1246,270,6378,17410,9575,3649,3061,162,20031,23253,32512,8434,594613,260394,334219,146301,155752,116085,70380,85837,508776,20031,23253,32512,8434,10666,11365,13459,3729,9355,11889,19053,5455,63135,70828,132499,83573,61946,25932,30190,56415,34563,25222,33414,39998,73115,47368,37733
102,199662,1388866,6356,5752,13325,2489,26809,1877,737,5149,12278,6848,2834,2168,89,28640,45849,91367,30057,1588528,776436,812092,350856,403839,286825,260638,199662,1388866,28640,45849,91367,30057,16507,27181,44396,13247,12240,18668,46971,19117,161108,132597,357990,195458,230581,69653,66658,164148,95267,109796,85184,64006,184658,95698,122493
103,113961,776211,2852,37378,9829,1204,48899,3567,778,5995,18279,15246,6892,6418,239,20975,28659,52271,11584,890172,418884,471288,248659,233163,168315,118568,113961,776211,20975,28659,52271,11584,11596,15471,24012,5244,9424,13189,28260,7170,113842,88113,204504,116044,106984,50702,39871,92075,51635,48443,61432,47288,106869,61521,61059
104,188299,1493735,578,2420,12872,5901,20731,1348,148,3660,8339,5446,2656,2032,66,20703,50302,87894,29811,1682034,813950,868084,304573,502145,321239,264528,188299,1493735,20703,50302,87894,29811,11389,29483,42594,11774,9869,20819,45300,19987,141935,120133,451843,233345,234717,61898,61235,211245,114573,110330,77588,57850,228047,113630,125671
105,211523,1687726,2036,27274,3559,1622,34008,1968,190,3515,14359,10716,4335,3073,114,25492,47976,107237,29362,1899249,870338,1028911,229870,484151,418267,319483,211523,1687726,25492,47976,107237,29362,12576,26854,50112,12900,12863,21122,57125,18849,102189,118793,436175,311030,290121,38720,59164,196611,141016,128434,52670,58078,228204,162487,166123
106,153610,1103690,9513,10278,6490,3077,28836,1546,368,4750,11603,7855,3556,2795,99,21776,39476,73226,19947,1257300,604068,653232,276440,387160,242031,163237,153610,1103690,21776,39476,73226,19947,12678,21688,34896,8132,9609,17788,38330,13116,127332,114095,347684,168805,143290,55403,56931,160542,77268,66400,69582,55510,177556,87501,79287
107,164918,1035757,2737,9478,5144,2625,19545,1135,586,4270,8673,4982,1815,1393,72,11928,29162,98547,26957,1200675,569399,631276,173382,243131,235547,257633,164918,1035757,11928,29162,98547,26957,6763,16185,46918,13283,5375,12975,51626,16180,80727,64128,213969,137000,230676,32843,27933,95637,66245,108105,46897,35753,113170,68129,122388
108,123871,1257077,2773,2349,9946,2920,17161,1076,10,2093,6555,5136,2532,1834,77,16218,27414,53792,27314,1380948,686770,694178,279076,312559,188008,302554,123871,1257077,16218,27414,53792,27314,9662,15151,27302,13106,6981,12261,26490,16333,131429,99535,285145,134216,275240,54020,52098,137943,68667,134951,80666,46786,138975,63277,138488
109,237405,2331686,7673,7086,17510,5537,36621,1906,96,6438,14902,9556,4399,3175,130,26578,53332,114362,40592,2569091,1207309,1361782,569334,659264,396704,405686,237405,2331686,26578,53332,114362,40592,14938,29025,58228,19158,11998,24307,56134,25321,271378,233751,605932,282342,365094,108451,106583,262123,132345,180213,159868,123096,329428,145107,191394
110,205984,1508048,1794,2851,31640,1373,36829,1353,133,5174,15475,11093,4224,2174,94,42703,56472,80887,23467,1714032,882540,831492,667885,458420,252481,231307,205984,1508048,42703,56472,80887,23467,24681,32380,40330,13091,17319,24093,40556,12461,312591,161853,401948,171594,207840,155180,81686,201229,84727,101709,150137,78792,189221,83817,109330
